segment_id,start,end,phase,speaker_role,qa_pair_id,text
0,1510.32,1562.68,q_and_a,analyst,1,"Thanks for taking my questions. If I could squeeze in two. The first one is on CapEx and return on invested capital. The CapEx spend and forward expectations are remaining somewhat higher than investors expected. So Mark, can you maybe just give us some examples of what these new AI investments are"
1,1561.68,1680.28,q_and_a,management,1,"mentioned in his script, we expect 2023 CapEx to be in the range of $34 billion to $39 billion, with our investments in AI driving all of that growth. We're very focused on evaluating the ROI of our AI investments, and that'll inform our level of future spend. But so far, we've seen continued strong impact on our recommendations products from advancing developments in our AI..."
2,1895.08,1936.36,q_and_a,analyst,3,"Great, a couple of questions on the Reels transition. When you think about that business, and people coming to the site, do you think -- how does it compare to the News Feed as far as repeat rates or retention? And are you a little worried that it's a little"
3,1936.36,2298.12,q_and_a,management,3,"As Mark mentioned, we're on about a $3 billion run rate today, but Reels was still negative overall to revenue by about $500 million in the quarter. So we expect that it should be a tailwind to the business eventually. And we're sort of saying that's probably in the 12- to 18-month time frame. But overall, we're pleased with the impact that Reels has on the business, specifi..."
