case_id,ticker,company_name,source_type,asset_type,source_url,source_domain,rights_status,blocked_reason,next_action,provenance_hash
pnc_2025_q4,PNC,"The PNC Financial Services Group, Inc.",youtube,video,https://www.youtube.com/results?search_query=PNC+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:f01f1e12d1b8c06053c575d4abd6bddc5027dc024f56d66b2ca485191466fffe
pnc_2025_q4,PNC,"The PNC Financial Services Group, Inc.",vendor,transcript,licensed-vendor://blocked/PNC/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:62cf6137b9bf7acba5e9c17219199c657af0a90a391077d8d6e7a69a68d9ecdb
tfc_2025_q4,TFC,Truist Financial Corporation,youtube,video,https://www.youtube.com/results?search_query=TFC+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:28406c496576cb381f3101cb530fbfd10c9942601043b9194ebb87bba2287f84
tfc_2025_q4,TFC,Truist Financial Corporation,vendor,transcript,licensed-vendor://blocked/TFC/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:75973680b4f09ecb468f3017ed9b719e1163aeea68a359515e385d42ac2056b1
cof_2025_q4,COF,Capital One Financial Corporation,youtube,video,https://www.youtube.com/results?search_query=COF+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:c6255112c38b3fca2c30ec754fe839eee86fc0b55b585c8f3e1ed2b5a2194423
cof_2025_q4,COF,Capital One Financial Corporation,vendor,transcript,licensed-vendor://blocked/COF/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:1ef4558c738aa0c7c10eb3a023cd20ca259d5025c8fc2a272fa40958123a9597
axp_2025_q4,AXP,American Express Company,youtube,video,https://www.youtube.com/results?search_query=AXP+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:9472600d5fd6e7c1eefe203691291aa0041563b9b13555d57edf684c77aa4f6e
axp_2025_q4,AXP,American Express Company,vendor,transcript,licensed-vendor://blocked/AXP/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:4f00112c621d4039d898082c879b2fe19142d7c314ebc386eef5d971e97d1e2b
v_2025_q4,V,Visa Inc.,youtube,video,https://www.youtube.com/results?search_query=V+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:6481bdfbd36b1204e6d6e4b6740647da44a880a0cd2d70cb47e10ffde99ecf30
v_2025_q4,V,Visa Inc.,vendor,transcript,licensed-vendor://blocked/V/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:0b9c376e04f2e073b4a0577d04784f6990b7c623a4e4641eb20f2b85a8eef2a1
ma_2025_q4,MA,Mastercard Incorporated,youtube,video,https://www.youtube.com/results?search_query=MA+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:529040c82f8e50f4d2caafbe5d2843322a2c0331e335cf89fddc44c663c57a85
ma_2025_q4,MA,Mastercard Incorporated,vendor,transcript,licensed-vendor://blocked/MA/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:b9b863514f35446cc745cec85f34104261bbe2b12de4537b18cfcb4eb9be2051
fis_2025_q4,FIS,"Fidelity National Information Services, Inc.",youtube,video,https://www.youtube.com/results?search_query=FIS+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:b50d0cba2368067bf2a07fe812ddc567f845ad64c9c3f6e95e54a6982d36eb07
fis_2025_q4,FIS,"Fidelity National Information Services, Inc.",vendor,transcript,licensed-vendor://blocked/FIS/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:4e7bd14060aa51c9db64b5c58541b7b65aff23db1fc5eb5e80ef76659bef5fd2
gpn_2025_q4,GPN,Global Payments Inc.,youtube,video,https://www.youtube.com/results?search_query=GPN+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:008f30a21ad5ecb635d5c276b49a123adb6738971ffed6779371cb37f6704678
gpn_2025_q4,GPN,Global Payments Inc.,vendor,transcript,licensed-vendor://blocked/GPN/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:75927aa7f62a0720e8fc1e14114a0c0639d5c8376f8a0d745b7ba5fb88d9a35d
blk_2025_q4,BLK,"BlackRock, Inc.",youtube,video,https://www.youtube.com/results?search_query=BLK+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:af8cb892ffd80b597bcb51d3ec2821133046254ec0ed91668be2bb189f7559dd
blk_2025_q4,BLK,"BlackRock, Inc.",vendor,transcript,licensed-vendor://blocked/BLK/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:2b1f8177b5937b34750f4d7134ba09a6a25a76c53f860c980b7b10e49d0fc086
bx_2025_q4,BX,Blackstone Inc.,youtube,video,https://www.youtube.com/results?search_query=BX+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:119a7274460f3bdc761cccf2c6c0ab56b7cd19651ddc91a0f16f099a22949b40
bx_2025_q4,BX,Blackstone Inc.,vendor,transcript,licensed-vendor://blocked/BX/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:ff47a29607a7b34fa902e56e3f74c3bc08b1e1551800793e9da2996501bbf0bd
schw_2025_q4,SCHW,The Charles Schwab Corporation,youtube,video,https://www.youtube.com/results?search_query=SCHW+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:e994b395e0c088552373654c10db4c7d7818c36982358d7751e13227bf9e100f
schw_2025_q4,SCHW,The Charles Schwab Corporation,vendor,transcript,licensed-vendor://blocked/SCHW/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:f8df2baf9421cc375e4931f85ebb0a49d6136b9f76bc8f0db36d27f0afec2517
ice_2025_q4,ICE,"Intercontinental Exchange, Inc.",youtube,video,https://www.youtube.com/results?search_query=ICE+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:89b3be5823df804b195aa0f8f5b8db3f1818eae1688fc71f1c84e446f5eb84d1
ice_2025_q4,ICE,"Intercontinental Exchange, Inc.",vendor,transcript,licensed-vendor://blocked/ICE/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:f7d1cccf2f188edb1ae26c4053960bb006a9fb3bde5a04954ae92c27c2f99383
spgi_2025_q4,SPGI,S&P Global Inc.,youtube,video,https://www.youtube.com/results?search_query=SPGI+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:051d5357705e0d93a6f2bfc12bc3ca8cf47810c8a364e71497894035011b72b2
spgi_2025_q4,SPGI,S&P Global Inc.,vendor,transcript,licensed-vendor://blocked/SPGI/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:c6e32f6dfa5b65e43027892e3d994374b4225c439310bd25533626fb771d26c9
mco_2025_q4,MCO,Moody's Corporation,youtube,video,https://www.youtube.com/results?search_query=MCO+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:2caeeaf76661e9c61342d74195c2d62db1cada53de07aed94f94bca79b583d12
