case_id,ticker,company_name,source_page_url,audio_url,source_domain,source_relation,direct_audio,download_allowed,review_required,blocked_reason,confidence,already_registered,commit_allowed,training_allowed,raw_audio_committed,notes
bac_2025_q4,BAC,Bank of America Corporation,https://d1io3yog0oux5.cloudfront.net/_340970fe090ca286d9efb02a861db84d/bankofamerica/db/775/10471/webcast_transcript/2026-01-15+BAC+4Q+Earnings+Call_ADA.pdf,,,audio_support_for_transcript,false,false,false,direct_official_audio_not_found,0.000,false,false,false,false,Checked official transcript/source pages; no direct same-domain MP3/M4A/WAV found.
cat_2025_q4,CAT,Caterpillar Inc.,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q4/4Q-2025-Caterpillar-Inc-Earnings-Conference-Call_Transcript.pdf,,,audio_support_for_transcript,false,false,false,direct_official_audio_not_found,0.000,false,false,false,false,Checked official transcript/source pages; no direct same-domain MP3/M4A/WAV found.
hd_2024_q1,HD,The Home Depot Inc.,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-1q24-transcript.pdf,,,audio_support_for_transcript,false,false,false,direct_official_audio_not_found,0.000,false,false,false,false,Checked official transcript/source pages; no direct same-domain MP3/M4A/WAV found.
hd_2024_q2,HD,The Home Depot Inc.,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-2q24-transcript.pdf,,,audio_support_for_transcript,false,false,false,direct_official_audio_not_found,0.000,false,false,false,false,Checked official transcript/source pages; no direct same-domain MP3/M4A/WAV found.
hd_2024_q3,HD,The Home Depot Inc.,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-3q-24-transcript-vf.pdf?os=__,,,audio_support_for_transcript,false,false,false,direct_official_audio_not_found,0.000,false,false,false,false,Checked official transcript/source pages; no direct same-domain MP3/M4A/WAV found.
hd_2024_q4,HD,The Home Depot Inc.,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-4q24-transcript.pdf,,,audio_support_for_transcript,false,false,false,direct_official_audio_not_found,0.000,false,false,false,false,Checked official transcript/source pages; no direct same-domain MP3/M4A/WAV found.
hd_2025_q4,HD,"The Home Depot, Inc.",https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/reports-and-presentations/quarterly-earnings/hd-4q25-transcript.pdf,,,audio_support_for_transcript,false,false,false,direct_official_audio_not_found,0.000,false,false,false,false,Checked official transcript/source pages; no direct same-domain MP3/M4A/WAV found.
jpm_2025_q1,JPM,JPMorgan Chase & Co.,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2025/1st-quarter/1q25-earnings-transcript.pdf,,,audio_support_for_transcript,false,false,false,direct_official_audio_not_found,0.000,false,false,false,false,Checked official transcript/source pages; no direct same-domain MP3/M4A/WAV found.
