segment_id,case_id,audio_asset_id,start_time_sec,end_time_sec,speaker,text_sha256,raw_text_committed
vz_2024_q4_00034,vz_2024_q4,vz_2024_q4_audio,180.08,185.36,,sha256:76d779bbce75ed5fcc6b3e60e26c14a75b77ce9b25be92ad12876e11898ca514,false
vz_2024_q4_00035,vz_2024_q4,vz_2024_q4_audio,185.36,191.68,,sha256:be99a26b38841d797bd6fd853293e63f72fa3372389f7f273e84c8065c8ea43a,false
vz_2024_q4_00036,vz_2024_q4,vz_2024_q4_audio,191.68,197.52,,sha256:99759978a99691da7e552aaa4e3791c4b938d9d75c283fda88d4ebc032551ca0,false
vz_2024_q4_00037,vz_2024_q4,vz_2024_q4_audio,197.52,204.48000000000002,,sha256:5d969bc8c03a2be93052b427d52292aa9c2523210fd487098e8367d4f967e534,false
vz_2024_q4_00038,vz_2024_q4,vz_2024_q4_audio,204.56000000000003,212.08,,sha256:841e3545722fb676b75406e08869a2996d69f9bd395ac1b370f1774cdc0e10c7,false
vz_2024_q4_00039,vz_2024_q4,vz_2024_q4_audio,212.08,217.84000000000003,,sha256:ec074efb70ad853c8fd9e6890bc7f3d0f4d45a2c76e0dffb8c456dd93db3208c,false
vz_2024_q4_00040,vz_2024_q4,vz_2024_q4_audio,217.84000000000003,224.48000000000002,,sha256:340313b4e062ecc1cf5576ce584444c0747c776d48971b223c24d0450008e4a7,false
vz_2024_q4_00041,vz_2024_q4,vz_2024_q4_audio,225.04000000000002,230.24,,sha256:37c0a881216b203e6e4dd5674522a404f0da08ee3dbe11a988817fff58160f89,false
vz_2024_q4_00042,vz_2024_q4,vz_2024_q4_audio,230.24,235.84,,sha256:dc37ce498ca79750e83b152a52d5bf0bc55385a7bfb6d295964b78751cc0fce4,false
vz_2024_q4_00043,vz_2024_q4,vz_2024_q4_audio,235.84,242.64000000000001,,sha256:b5ce2a4e342f99e85b083aa2e58f5253bc8ce7d647e357fd19e6f87668c57b38,false
vz_2024_q4_00044,vz_2024_q4,vz_2024_q4_audio,242.64000000000001,249.92000000000002,,sha256:74b4a525ffbb87d25f8ffb3d5e8133ca98999f3abc7c80c39f51d875a23ddb0b,false
vz_2024_q4_00045,vz_2024_q4,vz_2024_q4_audio,249.92000000000002,257.36,,sha256:f78680432271f98e17150750f0ce76c08b292cad17f4e8ad89f79c8ea29882b0,false
vz_2024_q4_00046,vz_2024_q4,vz_2024_q4_audio,257.36,263.52000000000004,,sha256:6fc5550cd7e6e8af2ca0dc498ce440e9083c7d346e89cfc7e1d07f30d670bcc7,false
vz_2024_q4_00047,vz_2024_q4,vz_2024_q4_audio,263.52000000000004,272.64,,sha256:1bbbc8c07c73e3857b8fb32efdbaccf72a1b9a6aaa66e173c9190c22597feef8,false
vz_2024_q4_00048,vz_2024_q4,vz_2024_q4_audio,272.64,279.92,,sha256:6f8e59ec81b809837f5d03b7c23dca0f18b89ac850198bedcbb5aa242f4b08c5,false
vz_2024_q4_00049,vz_2024_q4,vz_2024_q4_audio,279.92,287.28000000000003,,sha256:03f7788404ec25caf68125941bf4ac02e65c08b74149296448791a8561314729,false
vz_2024_q4_00050,vz_2024_q4,vz_2024_q4_audio,287.28000000000003,293.44,,sha256:2771658b9035f8ee5cefbccdfce01f947dfa34420fed9b9206b7cdc3b83bf3dd,false
vz_2024_q4_00051,vz_2024_q4,vz_2024_q4_audio,293.44,301.12,,sha256:b0d5f6191e2eabcfd5ced65fdeab9e290d88688456fadf38ff3a8dde8b0d33c4,false
vz_2024_q4_00052,vz_2024_q4,vz_2024_q4_audio,301.12,308.96000000000004,,sha256:a9acc0f063e859a680ea37b9710f3207eb04913009ca225711e8414195cad1a3,false
